number,S1,S2,S3,Total,Anchor,Pass
3160600279,51,46,58,155,83.3,1
3160600280,50,41,46,137,83.3,1
3160600281,41,30,27,98,36.8,0
3160600282,20,18,29,67,22.9,0
3160600283,33,22,27,82,46.5,0
3160600284,25,20,31,76,0,0
3160600285,41,27,39,107,77.1,1
3160600286,15,12,22,49,0,0
3160600287,34,30,26,90,46.5,0
3160600288,23,18,10,51,0,0
3160600289,36,36,54,126,77.1,1
3160600290,20,11,23,54,42.6,0
3160600291,43,40,35,118,35.7,1
3160600292,42,31,49,122,81,1
3160600293,48,28,45,121,100,1
3160600294,28,26,18,72,42.6,0
3160600295,28,12,40,80,0,0
3160600296,20,12,35,67,0,0
3160600297,39,27,33,99,19,0
3160600298,40,14,39,93,0,0
3160600299,14,14,16,44,40.3,0
3160600300,34,26,37,97,17.8,0
3160600301,42,22,47,111,100,1
3160600302,29,17,27,73,17.8,0
3160600303,32,20,31,83,35.7,0
3160600304,45,40,43,128,58.7,1
3160600305,27,25,31,83,59.7,0
3160600306,27,9,24,60,59.7,0
3160600307,22,22,24,68,0,0
3160600308,12,22,29,63,22.9,0
3160600309,24,10,24,58,23.5,0
3160600310,32,28,29,89,60.3,0
3160600311,34,17,29,80,36.8,0
3160600312,56,46,50,152,59.7,1
3160600313,47,25,36,108,65.5,1
3160600314,42,32,29,103,59.7,1
3160600315,34,24,22,80,60.3,0
3160600316,19,18,30,67,40.3,0
3160600317,39,41,47,127,76.5,1
3160600318,48,27,32,107,53.5,1
3160600319,51,47,47,145,76.5,1
3160600320,50,43,53,146,64.3,1
3160600321,45,43,35,123,83.3,1
3160600322,26,28,51,105,22.9,1
3160600323,40,14,22,76,36.8,0
3160600324,43,36,27,106,59.7,1
3160600325,32,27,28,87,17.8,0
3160600326,25,20,12,57,19,0
3160600327,39,17,33,89,36.8,0
3160600328,41,28,49,118,65.5,1
3161000329,20,16,21,57,22.9,0
3161000330,50,45,42,137,58,1
3161000331,53,44,29,126,83.3,1
3161000332,50,41,41,132,76.5,1
3161000333,44,44,27,115,59.3,1
3161000334,41,30,33,0,36.8,0
3161000335,31,25,36,92,65.5,0
3161000336,37,45,47,129,64.3,1
3161000337,40,43,28,111,58.7,1
3161000338,47,36,27,10,35.7,1
3161000339,25,27,21,73,42.6,0
3161000340,30,22,28,80,23.5,0
3161000341,31,37,38,0,46.5,1
3161000342,45,49,44,138,100,1
3161000343,41,38,42,121,65.5,1
3161000344,21,26,20,67,63.2,0
3161000345,24,19,49,92,40.7,0
